country_name,year,num_outbreaks,diseases_list,total_confirmed_cases,total_outbreak_deaths,avg_cfr,iso3,total_vaccinations,people_fully_vaccinated,total_boosters,vaccinations_per_hundred,fully_vaccinated_per_hundred,max_daily_vaccinations,who_alerts,who_diseases,who_total_cases,who_total_deaths,who_avg_cfr,who_high_risk_alerts
Czechia,2023.0,,,,,,CZE,19025550.0,6895727.0,5560181.0,181.3,65.71,7901.0,,,,,,
Czechia,2024.0,,,,,,CZE,19047108.0,6895763.0,5581388.0,181.5,65.71,830.0,,,,,,
DRC,2000.0,1.0,Cholera (endemic/recurrent),588996.0,13877.0,2.4,,,,,,,,,,,,,
DRC,2007.0,1.0,Ebola Virus Disease,264.0,187.0,71.0,,,,,,,,,,,,,
DRC,2008.0,1.0,Ebola Virus Disease,32.0,14.0,44.0,,,,,,,,,,,,,
DRC,2012.0,1.0,Ebola Virus Disease (Bundibugyo),57.0,29.0,51.0,,,,,,,,,,,,,
DRC,2014.0,1.0,Ebola Virus Disease (Equateur 2014),69.0,49.0,71.0,,,,,,,,,,,,,
DRC,2016.0,1.0,Yellow Fever,2987.0,16.0,20.0,,,,,,,,,,,,,
DRC,2017.0,1.0,Ebola Virus Disease,8.0,4.0,50.0,,,,,,,,,,,,,
DRC,2018.0,3.0,"Ebola Virus Disease (Equateur),Ebola Virus Disease (North Kivu/Ituri),Measles",461524.0,10320.0,42.9,,,,,,,,,,,,,
DRC,2020.0,1.0,Ebola Virus Disease (Equateur 2020),130.0,55.0,42.3,,,,,,,,,,,,,
Democratic Republic of Congo,2021.0,,,,,,COD,333589.0,117844.0,,0.34,0.12,7326.0,,,,,,
Democratic Republic of Congo,2022.0,,,,,,COD,9988117.0,6848697.0,,10.09,6.92,68808.0,,,,,,
Democratic Republic of Congo,2023.0,,,,,,COD,18808671.0,14399520.0,,19.0,14.54,99124.0,,,,,,
Democratic Republic of the Congo,2024.0,,,,,,,,,,,,,1.0,Typhoid fever,0.0,0.0,,0.0
Denmark,2020.0,,,,,,DNK,11.0,,,0.0,,619.0,,,,,,
Denmark,2021.0,,,,,,DNK,11882638.0,4507799.0,2725924.0,202.01,76.63,124721.0,,,,,,
Denmark,2022.0,,,,,,DNK,14929608.0,4710877.0,3613830.0,253.81,80.09,74171.0,,,,,,
Denmark,2023.0,,,,,,DNK,14961517.0,4712002.0,3617006.0,254.35,80.11,1021.0,,,,,,
Djibouti,2006.0,1.0,H5N1 Avian Influenza,1.0,0.0,0.0,,,,,,,,,,,,,
Djibouti,2021.0,,,,,,DJI,64721.0,26087.0,,5.77,2.33,802.0,,,,,,
Djibouti,2022.0,,,,,,DJI,338051.0,297060.0,,30.16,26.5,2149.0,,,,,,
Djibouti,2023.0,,,,,,DJI,442199.0,401208.0,,39.45,35.79,695.0,,,,,,
